fea1,fea2,fea3,fea4,fea5
107,0,绿,74,2485.714286
107,0,黄,74,2485.714286
107,0,绿,99999900,0
123,,绿,600,0
116,0,,508,3800
115,0,绿,114,1426.666667
145,0,绿,1496,3546.666667
105,0,绿,136,4710
103,0,绿,-74,866.6666667
109,1,绿,40,1555.555556
105,1,绿,464,11280
103,1,绿,-51,1633.333333
114,1,绿,231,2364.285714
155,1,绿,35,245.4545455
105,1,绿,638.618,14772.36
127,1,绿,548,2400
102,1,绿,-66,1700
112,1,绿,-17,691.6666667
122,1,绿,520,2818.181818
114,1,绿,699,5707.142857
150,1,绿,214,628
106,1,绿,-61.038,649.3666667
106,1,绿,-61.038,649.3666667
128,1,绿,1244,4800
106,1,绿,32,2200
108,1,绿,-75,312.5
112,1,绿,76,1466.666667
104,1,绿,-7.249,2318.775
108,1,绿,184,3550
121,1,绿,532,3009.52381
109,1,绿,396.381,5515.344444
141,1,绿,-18,200
119,1,绿,628,3831.578947
115,1,绿,26,840
106,1,绿,2994,51566.66667
106,1,绿,10,1833.333333
105,1,绿,-93.571,128.58
116,1,绿,764,5400
108,1,绿,222,4025
121,1,绿,29.569,616.9952381
124,1,绿,350,1875
103,1,绿,-32,2266.666667
119,1,绿,126,1189.473684
10,1,绿,3933,13443.33333
102,1,绿,-76,1200
104,1,绿,160.312,6507.8
103,1,绿,-92,266.6666667
215,1,绿,3568,3189.565217
112,1,绿,24,1033.333333
119,1,绿,179,1468.421053
112,1,绿,228,2733.333333
110,1,绿,201,3010
119,1,绿,-47.674,275.4
12,1,绿,1703,6677.777778
111,1,绿,263.107,3300.972727
111,1,绿,206,2781.818182
105,1,绿,51.354,3027.08
102,1,绿,-56,2200
6,1,绿,-39,1016.666667
107,1,绿,-79,300
107,1,绿,472,8171.428571
110,1,绿,51,1510
148,1,绿,5759,12206.25
89,1,绿,25802,29103.37079
17,1,绿,1819.479,27421.12857
109,1,绿,-56,488.8888889
104,1,绿,-83.747,406.325
103,1,绿,-67,1100
102,1,绿,-40,3000
104,1,绿,-75,625
121,1,绿,524,2971.428571
131,1,绿,790,2870.967742
118,1,绿,8,600
119,1,绿,245,1815.789474
162,1,绿,15073,24472.58065
154,1,绿,234,618.5185185
123,1,绿,619,3126.086957
106,1,绿,623,12050
132,1,绿,1040,3562.5
129,2,绿,467,1955.172414
126,2,绿,621.305,2774.25
16,2,绿,107,1293.75
105,2,绿,37,2740
102,2,绿,-72,1400
115,2,绿,647,4980
109,2,绿,-40.778,658.0222222
101,2,绿,-96,400
111,2,绿,155,2318.181818
103,2,绿,32,4400
118,2,绿,134,1300
163,2,绿,34650,55158.73016
112,2,绿,323,3525
152,2,绿,13672,26484.61538
136,2,绿,151,697.2222222
115,2,绿,1263,9086.666667
163,2,绿,314,657.1428571
105,2,绿,-86,280
141,2,绿,253,860.9756098
180,2,绿,8529.526,10786.9075
111,2,绿,45,1318.181818
112,2,绿,157,2141.666667
120,2,绿,228,1640
115,2,绿,-70,200
118,2,绿,1041,6338.888889
104,2,绿,31,3275
106,2,绿,2189.684,38161.4
103,2,绿,13.934,3797.8
103,2,绿,-92,266.6666667
155,2,绿,3986,7429.090909
118,2,绿,229,1827.777778
122,2,绿,337,1986.363636
117,2,绿,-63,217.6470588
113,2,绿,1333,11023.07692
139,2,绿,577,1735.897436
105,2,绿,-73,540
112,2,绿,-61,325
112,2,绿,207,2558.333333
112,2,绿,1012.018,9266.816667
106,2,绿,340,7333.333333
119,2,绿,172,1431.578947
110,2,绿,700.384,8003.84
102,2,绿,-80,1000
114,2,绿,627,5192.857143
105,2,绿,471,11420
119,2,绿,75,921.0526316
103,2,绿,-91,300
119,2,绿,-35,342.1052632
103,2,绿,-70,1000
128,2,绿,319,1496.428571
108,2,绿,-73,337.5
130,2,绿,1687,5956.666667
119,2,绿,80,947.3684211
121,2,绿,584,3257.142857
106,2,绿,672,12866.66667
114,2,绿,212,2228.571429
125,2,绿,161,1044
101,2,绿,-98,200
102,2,绿,-96,200
104,2,绿,450,13750
127,2,绿,864,3570.37037
120,2,绿,-0.247,498.765
106,2,绿,-67,550
145,2,绿,16304,36453.33333
108,2,绿,89,2362.5
102,2,绿,-46,2700
111,2,绿,-38,563.6363636
104,2,绿,-26,1850
117,2,绿,1023,6605.882353
110,2,绿,137,2370
106,2,绿,-14,1433.333333
110,2,绿,319,4190
103,2,绿,-16,2800
122,2,绿,429,2404.545455
140,2,绿,169.857,674.6425
117,2,绿,541,3770.588235
108,2,绿,97,2462.5
117,2,绿,311,2417.647059
145,2,绿,4658,10573.33333
104,2,绿,1682,44550
123,2,绿,903.498,4363.034783
106,2,绿,225,5416.666667
103,2,绿,-12,2933.333333
101,2,绿,-60,4000
125,2,绿,2218.142,9272.568
143,2,绿,670,1790.697674
4,2,绿,-59,1025
11,2,绿,837.292,1536.544262
17,2,绿,206,1800
14,2,绿,2046,4877.272727
117,2,绿,623,4252.941176
103,2,绿,-55,1500
10,2,绿,38.339,2305.65
105,2,绿,380,9600
14,2,绿,408,1239.02439
17,2,绿,5924,86057.14286
14,2,绿,821,6578.571429
109,2,绿,339,4877.777778
104,0,绿,-79.432,514.2
104,0,绿,-36,1600
13,0,绿,-63,284.6153846
10,0,绿,-26,1480
18,0,绿,-87.561,155.4875
19,0,绿,954,5547.368421
17,0,绿,239,1994.117647
15,0,绿,539,12780
15,0,绿,730,3320
18,0,绿,3773,10192.10526
18,0,绿,1130,4392.857143
133,0,绿,-28,218.1818182
107,0,绿,1,1442.857143
19,0,绿,13,1255.555556
10,0,绿,-31,345
14,0,绿,4391,18712.5
12,0,绿,1298,11650
13,0,绿,138,7933.333333
11,0,绿,39,1263.636364
104,0,绿,292.113,9802.825
114,0,绿,644,5314.285714
103,0,绿,50,5000
114,0,绿,1350.878,10363.41429
111,0,绿,152,2290.909091
17,0,绿,9,1557.142857
14,0,绿,-49,364.2857143
113,0,绿,589,5300
110,0,绿,1043,11430
102,0,绿,-48,2600
129,0,绿,295,1362.068966
13,0,绿,54,5133.333333
10,0,绿,614,3570
120,0,绿,342,2210
114,0,绿,595,4964.285714
119,0,绿,638,3884.210526
123,0,绿,791,3873.913043
112,0,绿,25,1041.666667
106,0,绿,80,3000
107,0,绿,15,1642.857143
107,0,绿,91.29,2732.714286
123,2,绿,34,582.6086957
118,2,绿,402,2788.888889
119,2,绿,1552,8694.736842
114,2,绿,367,3335.714286
102,2,绿,-18,4100
141,2,绿,171.327,661.7731707
118,2,绿,4516.12,25645.11111
109,2,绿,641,8233.333333
109,2,绿,244,3822.222222
107,2,绿,47,2100
103,2,绿,-34,2200
118,2,绿,-3,538.8888889
109,2,绿,295,4388.888889
103,2,绿,-54,1533.333333
113,2,绿,764,6646.153846
102,2,绿,-36,3200
104,2,绿,0.63,2515.75
109,2,绿,-38.542,682.8666667
104,2,绿,2019,52975
109,2,绿,526,6955.555556
156,2,绿,88.434,336.4892857
133,2,绿,6574,20224.24242
103,2,绿,-56,1466.666667
108,2,绿,223,4037.5
102,2,绿,-98,100
125,2,绿,847,3788
104,2,绿,57,3925
101,2,绿,-93,700
103,2,绿,26,4200
112,2,绿,317,3475
129,2,绿,554.332,2256.317241
112,2,绿,555,5458.333333
110,2,绿,486,5860
115,2,绿,-56.331,291.1266667
116,2,绿,42.242,889.0125
126,2,绿,1577.37,6451.423077
112,2,绿,592,5766.666667
108,2,绿,99,2487.5
103,2,绿,-93,233.3333333
121,2,绿,900.581,4764.671429
121,2,绿,878.755,4660.738095
102,2,绿,-58,2100
112,2,绿,452.14,4601.166667
105,2,绿,180,5600
106,2,绿,16,1933.333333
109,2,绿,7692,86577.77778
110,2,绿,192.243,2922.43
117,2,绿,1094,7023.529412
102,2,绿,-86,700
121,2,绿,-40,285.7142857
120,2,绿,-25.023,374.885
111,2,绿,1941,18554.54545
101,2,绿,-92,800
157,2,绿,527,1100
149,2,绿,5199,10814.28571
118,2,绿,610.698,3948.322222
110,2,绿,116,2160
116,2,绿,195,1843.75
117,2,绿,-37.88,365.4117647
114,2,绿,637,5264.285714
103,2,绿,-65,1166.666667
107,2,绿,-25,1071.428571
101,2,绿,-72,2800
128,2,绿,4231,15467.85714
114,2,绿,680,5571.428571
108,2,绿,658,9475
112,2,绿,333,3608.333333
106,2,绿,211,5183.333333
113,2,绿,94,1492.307692
117,2,绿,1213,7723.529412
107,2,绿,-22,1114.285714
157,2,绿,124.692,394.1964912
123,2,绿,181.963,1225.926087
118,2,绿,1453,8627.777778
128,2,绿,1330,5107.142857
104,2,绿,-64.103,897.425
104,2,绿,-87,325
131,2,绿,249,1125.806452
104,2,绿,-96,100
121,2,绿,1677,8461.904762
111,2,绿,530,5727.272727
101,2,绿,-73,2700
102,2,绿,-80,1000
113,2,绿,-94.251,44.22307692
103,2,绿,7880,266000
118,2,绿,4360,24777.77778
127,2,绿,683,2900
141,0,绿,916.205,2478.54878
116,0,绿,1488,9925
149,0,绿,3985.806,8338.379592
102,0,绿,-67,1650
114,0,绿,70,1214.285714
112,0,绿,20,1000
111,0,绿,382,4381.818182
105,0,绿,-48,1040
120,0,绿,1539,8195
110,0,绿,1098,11980
102,0,绿,-75,1250
104,0,绿,-19,2025
102,0,绿,-9,4550
106,0,绿,-72.392,460.1333333
112,0,绿,200,2500
110,0,绿,702,8020
112,0,绿,1234,11116.66667
108,0,绿,-64.56,443
104,0,绿,33,3325
110,0,绿,352,4520
114,0,绿,434,3814.285714
115,0,绿,449,3660
114,0,绿,78,1271.428571
106,0,绿,747,14116.66667
110,0,绿,-44.454,555.46
106,0,绿,-91,150
107,0,绿,171,3871.428571
105,0,绿,22,2440
103,0,绿,13,3766.666667
116,1,绿,-54.862,282.1125
104,1,绿,3,2575
117,1,绿,-8.151,540.2882353
142,1,绿,6515,15750
114,1,绿,102,1442.857143
126,1,绿,398,1915.384615
105,1,绿,-11,1780
105,1,绿,804,18080
110,1,绿,1078,11780
114,1,绿,-15,607.1428571
107,1,绿,153,3614.285714
133,1,绿,272,1127.272727
118,1,绿,-48,288.8888889
102,1,绿,107,10350
117,1,绿,3101,18829.41176
102,1,绿,-51,2450
118,1,绿,-66.564,185.7555556
104,1,绿,53,3825
118,1,绿,663.571,4242.061111
118,1,绿,1591,9394.444444
111,1,绿,354,4127.272727
105,1,绿,62,3240
107,1,绿,369,6700
113,1,绿,31,1007.692308
121,1,绿,3334,16352.38095
111,1,绿,460,5090.909091
107,1,绿,143,3471.428571
127,1,绿,148.956,922.0592593
139,1,绿,5773,15058.97436
102,2,绿,-59,2050
117,2,绿,-8,541.1764706
101,1,绿,16,11600
114,1,绿,774,6242.857143
107,1,绿,1233.931,19056.15714
120,1,绿,589,3445
108,1,绿,112,2650
107,1,绿,680,11142.85714
107,1,绿,539,9128.571429
154,1,绿,158.878,479.4037037
112,1,绿,2536,21966.66667
166,1,绿,3164.677,4946.480303
115,1,绿,1034,7560
128,1,绿,242,1221.428571
113,1,绿,970.432,8234.092308
105,1,绿,-82,360
145,1,绿,300,888.8888889
111,1,绿,571,6100
125,1,绿,96,784
111,0,绿,662,6927.272727
103,0,绿,-96.964,101.2
109,0,绿,19,1322.222222
113,0,绿,18941,146469.2308
111,0,绿,1137,11245.45455
103,0,绿,-43,1900
120,0,绿,2563,13315
114,0,绿,318,2985.714286
166,0,绿,3957.886,6148.312121
101,0,绿,-98,200
102,0,绿,-96,200
109,0,绿,-30,777.7777778
107,0,绿,213,4471.428571
102,0,绿,-97,150
102,0,绿,-16,4200
113,0,绿,2301,18469.23077
102,0,绿,-63,1850
106,0,绿,291,6516.666667
113,1,绿,145,1884.615385
113,1,绿,1007,8515.384615
106,1,绿,178,4633.333333
103,1,绿,78,5933.333333
110,1,绿,948,10480
103,1,绿,74,5800
111,1,绿,403,4572.727273
108,1,绿,111,2637.5
102,1,绿,-84.367,781.65
107,1,绿,470,8142.857143
108,1,绿,4,1300
103,1,绿,-33,2233.333333
102,1,绿,-13,4350
118,1,绿,159,1438.888889
108,1,绿,-35.324,808.45
111,1,绿,108.293,1893.572727
104,1,绿,6020,153000
106,1,绿,-32,1133.333333
106,1,绿,74.084,2901.4
121,1,绿,3081,15147.61905
105,1,绿,-75.2,496
101,1,绿,-99.551,44.9
122,1,绿,466,2572.727273
160,1,绿,7932,13386.66667
111,1,绿,611,6463.636364
138,1,绿,66.4,437.8947368
121,1,绿,283,1823.809524
104,1,绿,-10,2250
104,1,绿,584,17100
121,1,绿,3152,15485.71429
122,1,绿,-85.079,67.82272727
112,1,绿,-81,158.3333333
125,1,绿,474,2296
113,1,绿,1004,8492.307692
105,1,绿,619,14380
129,1,绿,77,610.3448276
115,1,绿,-65.4,230.6666667
110,1,绿,689,7890
127,1,绿,1047.945,4251.648148
101,1,绿,-88,1200
111,1,绿,256.366,3239.690909
113,1,绿,-53.511,357.6076923
105,1,绿,7,2140
150,1,绿,1119.682,2439.364
132,1,绿,2614.467,8482.709375
131,1,绿,740,2709.677419
103,1,绿,507,20233.33333
103,1,绿,88,6266.666667
108,1,绿,44,1800
114,1,绿,1254,9671.428571
111,1,绿,8,981.8181818
132,1,绿,4026,12893.75
105,1,绿,-51,980
117,1,绿,2189.606,13468.27059
108,1,绿,92,2400
109,1,绿,707,8966.666667
101,1,绿,-26,7400
114,1,绿,165,1892.857143
113,1,绿,35,1038.461538
103,1,绿,31,4366.666667
120,1,绿,1173,6365
107,1,绿,410,7285.714286
124,1,绿,4639.721,19748.8375
113,1,绿,97,1515.384615
118,1,绿,2463,14238.88889
112,1,绿,117,1808.333333
117,1,绿,1733.822,10787.18824
103,1,绿,109,6966.666667
120,1,绿,395,2475
148,1,绿,26,262.5
105,1,绿,501.574,12031.48
114,1,绿,49,1064.285714
144,1,绿,464.781,1283.593182
146,1,绿,1722.973,3962.984783
116,1,绿,914,6337.5
109,1,绿,785,9833.333333
129,1,绿,549,2237.931034
110,1,绿,515,6150
128,1,绿,241.864,1220.942857
103,1,绿,-92,266.6666667
126,1,绿,126,869.2307692
110,1,绿,319,4190
123,1,绿,343,1926.086957
118,1,绿,131,1283.333333
104,1,绿,-56.8,1080
119,1,绿,1510.087,8474.142105
117,1,绿,20.103,706.4882353
123,0,绿,1405,6543.478261
241,0,绿,277809,197098.5816
139,0,绿,10342,26774.35897
145,0,绿,1189,2864.444444
107,0,绿,428,7542.857143
138,0,绿,1119,3207.894737
157,0,绿,3593,6478.947368
150,0,绿,1363,2926
104,0,绿,-92,200
102,0,绿,-68,1600
123,0,绿,110,913.0434783
141,0,绿,150,609.7560976
102,0,绿,-98,100
107,0,绿,238.813,4840.185714
122,0,绿,1933,9240.909091
